"","Taxon2","Taxon1","Realm","Plots","Datasets","modelName"
"3","Acari","Araneae","Freshwater",20,2,"Aran_Acar_F"
"6","Acari","Auchenorrhyncha","Terrestrial",56,2,"Auch_Acar_T"
"11","Acari","Carabidae","Freshwater",45,2,"Cara_Acar_F"
"14","Acari","Chironomidae","Terrestrial",35,2,"Chir_Acar_T"
"16","Acari","Chrysomelidae","Terrestrial",30,2,"Chry_Acar_T"
"18","Acari","Coccinellidae","Terrestrial",40,2,"Cocc_Acar_T"
"21","Acari","Collembola","Freshwater",47,3,"Coll_Acar_F"
"24","Acari","Culicidae","Terrestrial",30,2,"Culi_Acar_T"
"26","Acari","Curculionoidea","Terrestrial",32,2,"Curc_Acar_T"
"32","Acari","Formicidae","Terrestrial",100,4,"Form_Acar_T"
"35","Acari","Heteroptera","Freshwater",24,3,"Hete_Acar_F"
"36","Acari","Heteroptera","Terrestrial",40,3,"Hete_Acar_T"
"40","Acari","Neuroptera","Terrestrial",25,2,"Neur_Acar_T"
"44","Acari","Orthoptera","Terrestrial",74,4,"Orth_Acar_T"
"46","Acari","Parasitoid wasps","Terrestrial",67,3,"Para_Acar_T"
"47","Acari","Plecoptera","Freshwater",383,3,"Plec_Acar_F"
"49","Acari","Simuliidae","Freshwater",498,4,"Simu_Acar_F"
"52","Acari","Staphylinidae","Terrestrial",33,2,"Stap_Acar_T"
"62","Araneae","Auchenorrhyncha","Terrestrial",66,2,"Auch_Aran_T"
"68","Araneae","Carabidae","Terrestrial",26,4,"Cara_Aran_T"
"69","Araneae","Chironomidae","Freshwater",21,3,"Chir_Aran_F"
"70","Araneae","Chironomidae","Terrestrial",42,3,"Chir_Aran_T"
"72","Araneae","Chrysomelidae","Terrestrial",37,3,"Chry_Aran_T"
"74","Araneae","Coccinellidae","Terrestrial",49,3,"Cocc_Aran_T"
"80","Araneae","Culicidae","Terrestrial",34,2,"Culi_Aran_T"
"82","Araneae","Curculionoidea","Terrestrial",47,4,"Curc_Aran_T"
"88","Araneae","Formicidae","Terrestrial",111,4,"Form_Aran_T"
"92","Araneae","Heteroptera","Terrestrial",50,4,"Hete_Aran_T"
"102","Araneae","Parasitoid wasps","Terrestrial",73,3,"Para_Aran_T"
"126","Auchenorrhyncha","Chironomidae","Terrestrial",32,1,"Chir_Auch_T"
"128","Auchenorrhyncha","Chrysomelidae","Terrestrial",32,2,"Chry_Auch_T"
"130","Auchenorrhyncha","Coccinellidae","Terrestrial",42,1,"Cocc_Auch_T"
"134","Auchenorrhyncha","Collembola","Terrestrial",60,2,"Coll_Auch_T"
"136","Auchenorrhyncha","Culicidae","Terrestrial",28,1,"Culi_Auch_T"
"138","Auchenorrhyncha","Curculionoidea","Terrestrial",35,2,"Curc_Auch_T"
"144","Auchenorrhyncha","Formicidae","Terrestrial",65,2,"Form_Auch_T"
"148","Auchenorrhyncha","Heteroptera","Terrestrial",46,3,"Hete_Auch_T"
"152","Auchenorrhyncha","Neuroptera","Terrestrial",20,1,"Neur_Auch_T"
"156","Auchenorrhyncha","Orthoptera","Terrestrial",71,3,"Orth_Auch_T"
"158","Auchenorrhyncha","Parasitoid wasps","Terrestrial",58,2,"Para_Auch_T"
"164","Auchenorrhyncha","Staphylinidae","Terrestrial",33,2,"Stap_Auch_T"
"293","Carabidae","Chironomidae","Freshwater",50,2,"Chir_Cara_F"
"299","Carabidae","Coleoptera","Freshwater",50,2,"Cole_Cara_F"
"301","Carabidae","Collembola","Freshwater",24,2,"Coll_Cara_F"
"309","Carabidae","Ephemeroptera","Freshwater",23,2,"Ephe_Cara_F"
"313","Carabidae","Hemiptera","Freshwater",50,2,"Hemi_Cara_F"
"321","Carabidae","Odonata","Freshwater",27,2,"Odon_Cara_F"
"352","Chironomidae","Chrysomelidae","Terrestrial",22,2,"Chry_Chir_T"
"354","Chironomidae","Coccinellidae","Terrestrial",28,3,"Cocc_Chir_T"
"357","Chironomidae","Collembola","Freshwater",49,4,"Coll_Chir_F"
"358","Chironomidae","Collembola","Terrestrial",34,2,"Coll_Chir_T"
"360","Chironomidae","Culicidae","Terrestrial",23,2,"Culi_Chir_T"
"362","Chironomidae","Curculionoidea","Terrestrial",22,2,"Curc_Chir_T"
"368","Chironomidae","Formicidae","Terrestrial",31,1,"Form_Chir_T"
"371","Chironomidae","Heteroptera","Freshwater",31,4,"Hete_Chir_F"
"372","Chironomidae","Heteroptera","Terrestrial",26,3,"Hete_Chir_T"
"380","Chironomidae","Orthoptera","Terrestrial",30,1,"Orth_Chir_T"
"382","Chironomidae","Parasitoid wasps","Terrestrial",35,2,"Para_Chir_T"
"388","Chironomidae","Staphylinidae","Terrestrial",21,2,"Stap_Chir_T"
"414","Chrysomelidae","Collembola","Terrestrial",29,2,"Coll_Chry_T"
"424","Chrysomelidae","Formicidae","Terrestrial",32,2,"Form_Chry_T"
"428","Chrysomelidae","Heteroptera","Terrestrial",22,4,"Hete_Chry_T"
"436","Chrysomelidae","Orthoptera","Terrestrial",29,2,"Orth_Chry_T"
"438","Chrysomelidae","Parasitoid wasps","Terrestrial",28,2,"Para_Chry_T"
"470","Coccinellidae","Collembola","Terrestrial",43,2,"Coll_Cocc_T"
"472","Coccinellidae","Culicidae","Terrestrial",23,2,"Culi_Cocc_T"
"480","Coccinellidae","Formicidae","Terrestrial",41,1,"Form_Cocc_T"
"484","Coccinellidae","Heteroptera","Terrestrial",28,3,"Hete_Cocc_T"
"492","Coccinellidae","Orthoptera","Terrestrial",39,1,"Orth_Cocc_T"
"494","Coccinellidae","Parasitoid wasps","Terrestrial",40,2,"Para_Cocc_T"
"525","Coleoptera","Collembola","Freshwater",47,4,"Coll_Cole_F"
"539","Coleoptera","Heteroptera","Freshwater",26,4,"Hete_Cole_F"
"584","Collembola","Culicidae","Terrestrial",32,2,"Culi_Coll_T"
"586","Collembola","Curculionoidea","Terrestrial",36,2,"Curc_Coll_T"
"589","Collembola","Ephemeroptera","Freshwater",24,4,"Ephe_Coll_F"
"592","Collembola","Formicidae","Terrestrial",106,4,"Form_Coll_T"
"593","Collembola","Hemiptera","Freshwater",39,4,"Hemi_Coll_F"
"596","Collembola","Heteroptera","Terrestrial",44,3,"Hete_Coll_T"
"600","Collembola","Neuroptera","Terrestrial",25,2,"Neur_Coll_T"
"601","Collembola","Odonata","Freshwater",24,4,"Odon_Coll_F"
"604","Collembola","Orthoptera","Terrestrial",77,4,"Orth_Coll_T"
"606","Collembola","Parasitoid wasps","Terrestrial",69,3,"Para_Coll_T"
"612","Collembola","Staphylinidae","Terrestrial",33,2,"Stap_Coll_T"
"648","Culicidae","Formicidae","Terrestrial",28,1,"Form_Culi_T"
"652","Culicidae","Heteroptera","Terrestrial",22,2,"Hete_Culi_T"
"660","Culicidae","Orthoptera","Terrestrial",26,1,"Orth_Culi_T"
"662","Culicidae","Parasitoid wasps","Terrestrial",30,2,"Para_Culi_T"
"668","Culicidae","Staphylinidae","Terrestrial",20,1,"Stap_Culi_T"
"704","Curculionoidea","Formicidae","Terrestrial",37,2,"Form_Curc_T"
"708","Curculionoidea","Heteroptera","Terrestrial",28,4,"Hete_Curc_T"
"716","Curculionoidea","Orthoptera","Terrestrial",32,2,"Orth_Curc_T"
"718","Curculionoidea","Parasitoid wasps","Terrestrial",33,2,"Para_Curc_T"
"819","Ephemeroptera","Heteroptera","Freshwater",29,4,"Hete_Ephe_F"
"876","Formicidae","Heteroptera","Terrestrial",40,2,"Hete_Form_T"
"880","Formicidae","Neuroptera","Terrestrial",26,2,"Neur_Form_T"
"884","Formicidae","Orthoptera","Terrestrial",81,4,"Orth_Form_T"
"886","Formicidae","Parasitoid wasps","Terrestrial",67,2,"Para_Form_T"
"892","Formicidae","Staphylinidae","Terrestrial",37,2,"Stap_Form_T"
"993","Heteroptera","Odonata","Freshwater",21,4,"Odon_Hete_F"
"996","Heteroptera","Orthoptera","Terrestrial",43,3,"Orth_Hete_T"
"998","Heteroptera","Parasitoid wasps","Terrestrial",41,3,"Para_Hete_T"
"1004","Heteroptera","Staphylinidae","Terrestrial",21,3,"Stap_Hete_T"
"1007","Heteroptera","Trichoptera","Freshwater",29,4,"Tric_Hete_F"
"1110","Neuroptera","Parasitoid wasps","Terrestrial",20,1,"Para_Neur_T"
"1222","Orthoptera","Parasitoid wasps","Terrestrial",56,2,"Para_Orth_T"
"1228","Orthoptera","Staphylinidae","Terrestrial",32,2,"Stap_Orth_T"
"1284","Parasitoid wasps","Staphylinidae","Terrestrial",35,2,"Stap_Para_T"
